Customer_ID,Customer_Name,Segment
CG-12520,Claire Gute,Consumer
DK-12985,Darren Koutras,Consumer
RD-19585,Rob Dowd,Consumer
KC-16255,Karen Carlisle,Corporate
AB-10105,Adrian Barton,Consumer
DB-12910,Daniel Byrd,Home Office
SB-20290,Sean Braxton,Corporate
PS-18970,Paul Stevenson,Home Office
AP-10915,Arthur Prichep,Consumer
SC-20050,Sample Company A,Home Office
TB-21175,Thomas Boland,Corporate
CC-12685,Craig Carroll,Consumer
ME-17320,Maria Etezadi,Home Office
KC-16675,Kimberly Carter,Corporate
DB-13555,Dorothy Badders,Corporate
GW-14605,Giulietta Weimer,Consumer
AH-10210,Alan Hwang,Consumer
VB-21745,Victoria Brennan,Corporate
BD-11725,Bruce Degenhardt,Consumer
PW-19030,Pauline Webber,Corporate
BO-11425,Bobby Odegard,Consumer
DH-13075,Dave Hallsten,Corporate
RD-19810,Ross DeVincentis,Home Office
FM-14290,Frank Merwin,Home Office
PF-19120,Peter Fuller,Consumer
JO-15145,Jack O'Briant,Corporate
PJ-18835,Patrick Jones,Corporate
LC-17050,Liz Carlisle,Consumer
FM-14215,Filia McAdams,Corporate
JL-15835,John Lee,Consumer
RP-19855,Roy Phan,Corporate
RC-19825,Roy Collins,Consumer
AF-10885,Art Foster,Consumer
ND-18370,Natalie DeCherney,Consumer
JW-15955,Joni Wasserman,Consumer
DW-13480,Dianna Wilson,Home Office
PG-18820,Patrick Gardner,Consumer
AH-10120,Adrian Hane,Home Office
AS-10630,Ann Steele,Home Office
SS-20515,Shirley Schmidt,Home Office
JK-16090,Juliana Krohn,Consumer
KH-16360,Katherine Hughes,Consumer
JM-16195,Justin MacKendrick,Consumer
BS-11590,Brendan Sweed,Corporate
ME-17725,Max Engle,Consumer
JE-15745,Joel Eaton,Consumer
KW-16435,Katrina Willman,Consumer
HG-14965,Henry Goldwyn,Corporate
CL-12700,Craig Leslie,Home Office
LP-17095,Liz Preis,Consumer
JG-15160,James Galang,Consumer
KH-16330,Katharine Harms,Corporate
BD-11635,Brian Derr,Consumer
TP-21130,Theone Pippenger,Consumer
AA-10645,Anna Andreadi,Consumer
SS-20410,Shahid Shariari,Consumer
CC-12220,Chris Cortes,Consumer
DW-13585,Dorothy Wardle,Corporate
